Title,Authors
Subject Index of the Modern Books Acquired by the British Museum in the Years 1916-1920,['British Museum. Department of Printed Books']
Nationalism,['Rabindranath Tagore']
"Cyclopaedia of Biblical, Theological, and Ecclesiastical Literature","['John McClintock', 'James Strong']"
Current Bibliographical Information,['Dag Hammarskjöld Library']
Ancient India,[]
FAO Agricultural Studies,['Food and Agriculture Organization of the United Nations']
Annual Report of the Department of Indian Affairs,['Canada. Department of Indian Affairs']
Statistical Compendium,[]
DK Eyewitness Top 10 Orlando,['DK Eyewitness']
The Future of Work,['Charles B. Handy']
Rethinking Islamism,['Meghnad Desai']
The Parliamentary Debates (official Report).,['Great Britain. Parliament. House of Commons']
"Report of the Seventh Session of the Indo-Pacific Fishery Commission, Working Party on Fish Technology and Marketing",[]
The Parliamentarian,[]
Fresh India,['Meera Sodha']
Air,['Dean Spears']
Statistiques Routières Mondiales,[]
Jawaharlal Nehru,['Jawaharlal Nehru']
"Intraregional Trade Projections, Effective Protection and Income Distribution",['United Nations. Economic Commission for Asia and the Far East']
Bābur-nāma,['Babur (Emperor of Hindustan)']
Scribner's Magazine,"['Edward Livermore Burlingame', 'Robert Bridges', 'Alfred Sheppard Dashiell', 'Harlan Logan']"
Dearborn Independent,[]
Vietnam Economic News,[]
The Parliamentary Debates (official Report).,['Great Britain. Parliament. House of Lords']
Dictionary Catalog of the Map Division,['New York Public Library. Map Division']
Abstracts and Index of Reports and Articles,['India. Parliament. Lok Sabha']
Tobacco Abstracts,[]
"Report of the Seventh Session of the Indo-Pacific Fishery Commission, Working Party on Fish Technology and Marketing",[]
The Parliamentarian,[]
Bābur-nāma,['Babur (Emperor of Hindustan)']
Air,['Dean Spears']
Fresh India,['Meera Sodha']
"Intraregional Trade Projections, Effective Protection and Income Distribution",['United Nations. Economic Commission for Asia and the Far East']
Scribner's Magazine,"['Edward Livermore Burlingame', 'Robert Bridges', 'Alfred Sheppard Dashiell', 'Harlan Logan']"
Jawaharlal Nehru,['Jawaharlal Nehru']
Dearborn Independent,[]
The National Geographic Magazine,[]
Ceylon Blue Book,"[""Ceylon. Registrar-General's Department""]"
The Rise of India and China,"['Kala Seetharam Sridhar', 'Jingfeng Li']"
Why I Am an Atheist and Other Works,[]
Daily Report,[]
Social Welfare,[]
Plant Breeding Abstracts,[]
International Catalogue of Scientific Literature,[]
The South Asia Papers,['Stephen Philip Cohen']
"The Saturday Review of Politics, Literature, Science and Art",[]
National Union Catalog,[]
The World's Work,[]
"UNDOC, Current Index",[]
Israel Confronts Iran,['P. R. Kumaraswamy']
"Census Publications: Report of the census of Ceylon, 1921. 1 v. in 2","['Ceylon. Superintendent of Census', 'Lewis James Barnetson Turner']"
RISS,[]
Who We Are and How We Got Here,['David Reich']
Annual Statement of the Sea-borne Trade and Navigation of Burma with Foreign Countries and Indian Ports,['Burma. Customs Department']
Cabinet Office Subject Index of Cabinet Conclusions,['Great Britain. Cabinet Office']
China,['John Keay']
Calcutta Municipal Gazette,[]
Normalizing Japan,['Andrew Oros']
Private Vegas,['James Patterson']
Buddhism and Jainism,"['K.T.S Sarao', 'Jeffery D. Long']"
"The Literary Digest Atlas of the World, 1931",['Funk & Wagnalls Company']
Parliamentary Debates (Hansard).,['Great Britain. Parliament. House of Commons']
Neurosurgical Intensive Care,['Javed Siddiqi']
The Prefaces,['Mahatma Gandhi']
Engineering and Mining Journal,[]
Zoological Record,[]
Agricultural Policies in OECD Countries,[]
Summary of World Broadcasts,[]
The Outlook,[]
Print Prices Current,[]
Chemical Abstracts,[]
Ellsworth Bunker,['Howard B. Schaffer']
Democracy and Social Cleavage in India,['Suman Nath']
A History of the Sikhs,[]
Indian Reminiscences,['Samuel Dewé White']
"The Routledge Handbook of Exclusion, Inequality and Stigma in India","['N. M. P. Verma', 'Alpana Srivastava']"
Industrial Development Abstracts,[]
Fundamentals of Nursing,"['Patricia A. Potter (Ph. D.)', 'Anne Griffin Perry']"
"Indo-American Technical Cooperation,1952-1956",[]
The World Today,[]
Wisconsin Congregational Church Life,[]
The Magazine Subject-index,[]
The American Historical Review,"['John Franklin Jameson', 'Henry Eldridge Bourne', 'Robert Livingston Schuyler']"
Journal of the Royal United Service Institution,['Royal United Services Institute for Defence Studies']
Minutes of the ... Convention of the United Lutheran Church in America,"['United Lutheran Church in America', 'United Lutheran Church in America. Convention']"
The Parliamentary Debates (Hansard).,['Great Britain. Parliament. House of Lords']
International Reference Work,['Bernhart Paul Holst']
Catalog of the United States Geological Survey Library,['U.S. Geological Survey Library']
Democracy and Discontent,['Atul Kohli']
ATAS Bulletin,[]
Nanyang Perspective; Chinese Students in Multiracial Singapore,['Andrew William Lind']
The Naturalists' Universal Directory,[]
The Constitutional Year Book,[]
The World Almanac and Book of Facts 2004,['William A. McGreverand']
Trans-Siberian Handbook,"['Bryn Thomas', 'Anna Kaminski']"
DK Eyewitness Top 10 Orlando,['DK Eyewitness']
The Encyclopædia Britannica: Demijohn-Edward,[]
Rubber Journal,[]
McGraw-Hill Education Preparation for the GED Test 2nd Edition,['McGraw Hill Editors']
"Tables of Temperature, Relative Humidity and Precipitation for the World",['Great Britain. Meteorological Office']
The Law Reports,"[""Great Britain. High Court of Justice. King's Bench Division""]"
The Coal Trade Bulletin,[]
Head Over Heels,['Holly Smale']
Encyclopaedia Britannica,['Harry S. Ashmore']
Liberty After Freedom,['Rohan J. Alva']
"DK Eyewitness Delhi, Agra and Jaipur",['DK Eyewitness']
The Community Resilience Handbook,"['Edward A Thomas', 'George Blaine Huff', 'Nancy McNabb']"
"Zélinde, comedie","['Jean Donneau de Visé', 'Claude Deschamps Villiers (sieur de)']"
The Indian's Friend,[]
Indian Claims Commission Proceedings,"['Canada. Indian Claims Commission (1991- )', 'Canada. Indian Claims Commission (1991-2009).']"
"The Indian, Or Mound Builder",['Thomas Beckwith']
Current Federal Indian Law and Its Precedents,['Susan Dion']
The Lutheran,['George Washington Sandt']
The Americana,"['Frederick Converse Beach', 'George Edwin Rines']"
World Trade Annual,[]
Land and Water,[]
Reinventing Human Rights,['Mark Goodale']
Energy Research Abstracts,[]
The Mining Magazine,[]
Comparative Constitutional Law,"['Tom Ginsburg', 'Rosalind Dixon']"
Publications Catalog,['World Bank']
Paradoxes of the Popular,['Nusrat Sabina Chowdhury']
Ticker and Investment Digest,[]
Monographic Series,['Library of Congress']
Singapore Trade Statistics,[]
Perspectives on Inclusive Policies for Development in India,"['Saiyed Raza Hashim', 'Rahul Mukherji', 'Brajaraja Mishra']"
Shipbuilding & Shipping Record,[]
Athenaeum and Literary Chronicle,"['James Silk Buckingham', 'John Sterling', 'Frederick Denison Maurice', 'Henry Stebbing', 'Charles Wentworth Dilke', 'Thomas Kibble Hervey', 'William Hepworth Dixon', 'Norman Maccoll', 'Vernon Horace Rendall', 'John Middleton Murry']"
In Spite of the Gods,['Edward Luce']
Machinery Market,[]
Private Berlin,['James Patterson']
Records of the Indian Museum,[]
Canada-India,['Prem K. Budhwar']
Foreign Body,['Robin Cook']
Encyclopaedia of Religion and Ethics,"['James Hastings', 'John Alexander Selbie', 'Louis Herbert Gray']"
Head Over Heels,['Holly Smale']
Encyclopaedia Britannica,['Harry S. Ashmore']
Liberty After Freedom,['Rohan J. Alva']
"DK Eyewitness Delhi, Agra and Jaipur",['DK Eyewitness']
The Community Resilience Handbook,"['Edward A Thomas', 'George Blaine Huff', 'Nancy McNabb']"
"Zélinde, comedie","['Jean Donneau de Visé', 'Claude Deschamps Villiers (sieur de)']"
The Indian's Friend,[]
Indian Claims Commission Proceedings,"['Canada. Indian Claims Commission (1991- )', 'Canada. Indian Claims Commission (1991-2009).']"
"The Indian, Or Mound Builder",['Thomas Beckwith']
Current Federal Indian Law and Its Precedents,['Susan Dion']
Universal Indian Sign Language of the Plains Indians of North America,[]
Report of the ... Annual Lake Mohonk Conference of Friends of the Indian and Other Dependent Peoples,[]
Among the Believers,['V S Naipaul']
India's Most Fearless 2,['Shiv Aroor']
Durable Disorder,['Sanjib Baruah']
The Journal of Education,[]
A History of India,['Hermann Kulke']
Out of the Silent Planet,['Clive Staples Lewis']
The Journal of the National Education Association,['National Education Association of the United States']
Digest,[]
"Government of Canada Publications, Quarterly Catalogue",[]
CIS Annual,[]
